app_id,game_name,game_type,is_free_to_play,release_year,avg_initial_price,min_initial_price,max_initial_price,price_volatility,avg_final_price,min_final_price,max_final_price,avg_discount,max_discount,discount_frequency,total_discount_days,total_observation_days,price_trend,seasonal_discount_pattern,best_discount_month,worst_discount_month,max_savings,avg_savings_when_discounted,good_buy_time
12100,Grand Theft Auto III,game,0.0,2011.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,8.884736842105262,3.49,9.99,11.052631578947368,65,0.1700404858299595,84,494,0.0,115.46471247019358,12,4,6.5,6.5,1
12110,Grand Theft Auto: Vice City,game,0.0,2011.0,10.030485829959513,9.99,29.99,0.8998425413316951,8.882712550607286,3.49,9.99,11.194331983805668,70,0.1720647773279352,85,494,0.02858180707773539,116.80941918062922,12,4,21.0,6.670588235294118,1
12120,Grand Theft Auto: San Andreas,game,0.0,2011.0,15.020425963488847,14.99,29.99,0.6755660236665675,13.316572008113592,5.24,14.99,11.217038539553753,70,0.1724137931034483,85,493,0.028510481714604744,116.82847940047877,12,4,21.0,9.882352941176471,1
12140,Max Payne,game,0.0,2011.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,9.042631578947367,3.49,9.99,9.473684210526315,65,0.145748987854251,72,494,0.0,108.09422612462512,12,3,6.5,6.5,0
12150,Max Payne 2: The Fall of Max Payne,game,0.0,2011.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,9.042631578947367,3.49,9.99,9.473684210526315,65,0.145748987854251,72,494,0.0,108.09422612462512,12,3,6.5,6.5,0
12200,Bully: Scholarship Edition,game,0.0,2010.0,14.990000000000002,14.99,14.99,1.778157505690667e-15,13.707105263157898,5.24,14.99,8.552631578947368,65,0.13157894736842105,65,494,0.0,113.8737475625865,12,3,9.75,9.75,0
12210,Grand Theft Auto IV,game,0.0,2008.0,19.99,19.99,19.99,0.0,19.555632458233895,6.99,19.99,2.171837708830549,65,0.03341288782816229,14,419,0.0,9.35906425113929,7,1,12.999999999999998,12.999999999999998,0
12220,Grand Theft Auto: Episodes from Liberty City,game,0.0,2010.0,19.990000000000002,19.99,19.99,3.557873759484756e-15,18.143623188405797,6.99,19.99,9.231884057971014,65,0.14202898550724638,49,345,0.0,110.61721111917574,12,3,12.999999999999998,12.999999999999998,0
12320,Sacred Gold,game,0.0,2008.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,7.289595141700404,0.99,9.99,27.004048582995953,90,0.3340080971659919,165,494,0.0,384.1290456130097,7,2,9.0,8.084848484848484,1
1250,Killing Floor,game,0.0,2009.0,19.99,19.99,19.99,0.0,16.02658536585366,4.99,19.99,19.817073170731707,75,0.26422764227642276,130,492,0.0,607.7892116865019,10,2,14.999999999999998,14.999999999999998,1
12810,Overlord II,game,0.0,2009.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,8.820971659919028,2.49,9.99,11.690283400809717,75,0.15587044534412955,77,494,0.0,203.18540503894303,12,2,7.5,7.5,1
130,Half-Life: Blue Shift,game,0.0,2001.0,4.990000000000001,4.99,4.99,8.890787528453336e-16,4.525425101214576,0.49,4.99,9.291497975708502,90,0.10728744939271255,53,494,0.0,180.47507331378299,12,2,4.5,4.330188679245283,0
13210,Unreal Tournament 3: Black Edition,game,0.0,2009.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,19.990000000000002,19.99,19.99,0.0,0,0.0,0,494,0.0,0.0,1,1,0.0,0.0,0
13230,Unreal Tournament 2004,game,0.0,2004.0,14.990000000000004,14.99,14.99,3.556322327449258e-15,14.990000000000004,14.99,14.99,0.0,0,0.0,0,493,0.0,0.0,1,1,0.0,0.0,0
13520,Far Cry,game,0.0,2008.0,9.99,9.99,9.99,0.0,8.782682926829267,2.99,9.99,12.073170731707316,70,0.1991869918699187,98,492,0.0,103.78354194542317,12,4,7.0,6.061224489795919,1
15100,Assassin's Creed,game,0.0,2008.0,19.99,19.99,19.99,0.0,17.526713995943204,6.79,19.99,12.316430020283976,66,0.18661257606490872,92,493,0.0,107.55664085357911,12,2,13.2,13.200000000000001,1
15120,Tom Clancy's Rainbow Six: Vegas 2,game,0.0,2008.0,9.99,9.99,9.99,0.0,9.012718052738336,3.39,9.99,9.772819472616632,66,0.14807302231237324,73,493,0.0,107.32368547984021,12,4,6.6,6.6000000000000005,0
15170,Heroes of Might & Magic V,game,0.0,2008.0,9.99,9.99,9.99,0.0,8.55997971602434,2.49,9.99,14.300202839756592,75,0.19066937119675456,94,493,0.0,121.48905083942321,12,4,7.5,7.5,1
15210,Silent Hunter III,game,0.0,2008.0,9.99,9.99,9.99,0.0,9.00869918699187,3.39,9.99,9.8130081300813,66,0.15040650406504066,74,492,0.0,107.63380126338883,12,4,6.6,6.524324324324326,0
